ID,恐怖度１(random3),恐怖度２(random3),恐怖度３(random3)
イベントID,0,0,0
event_恐怖度_イベント番号,0,0,0
event_1,wide/event_3_1,0,0
event_2,wide/event_3_2,0,0
event_3,wide/event_3_3,0,0
event_4,wide/event_3_4,0,0
event_5,wide/event_3_5,0,0
event_6,wide/event_3_6,0,0
event_7,wide/event_3_7,0,0
event_8,wide/event_3_8,0,0
event_9,wide/event_3_9,0,0
ファミリー,0,0,0
family_ファミリー番号(1～5),0,0,0
family,wide/Family_3,0,0
フレンド,0,0,0
friend_フレンド番号(1～5),0,0,0
friend,wide/Friend_3,0,0
不審度汎用,0,0,0
JumpIDはなし,0,0,0
dout,wide/dout_3,0,0
恐怖度汎用,0,0,0
fear_恐怖度_ランダム番号(1～3),0,0,0
fear_1,wide/fear_3_1_1,wide/fear_3_1_2,wide/fear_3_1_3
fear_2,wide/fear_3_2_1,wide/fear_3_2_2,wide/fear_3_2_3
fear_3,wide/fear_3_3_1,wide/fear_3_3_2,wide/fear_3_3_3
夜外で見かけた場合,0,0,0
night_out,wide/night_out_3,0,0
夜家の中で見かけた場合,0,0,0
night_in,wide/night_in_3,0,0
